URL,schema blocks,types found,expected type,correct type,errors
/,4,"BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",Organization/LocalBusiness + WebSite,YES,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/who-we-are,4,"BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",AboutPage,NO,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/our-story,4,"BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",AboutPage,NO,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/portfolio,4,"BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/contact,4,"BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",ContactPage,NO,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/careers,4,"BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/testimonials,5,"BreadcrumbList;ListItem;LocalBusiness;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog,5,"BreadcrumbList;ListItem;CollectionPage;LocalBusiness,ProfessionalService;WebSite;Service",CollectionPage/Blog,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | WebSite lacks @id
/blog/web-design,5,"BreadcrumbList;ListItem;CollectionPage;LocalBusiness,ProfessionalService;WebSite;Service",CollectionPage/Blog,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | WebSite lacks @id
/blog/seo,5,"BreadcrumbList;ListItem;CollectionPage;LocalBusiness,ProfessionalService;WebSite;Service",CollectionPage/Blog,YES,smart/non-ascii chars: — | '&' in text (want 'and') | priceRange present | WebSite lacks @id
/blog/digital-marketing,5,"BreadcrumbList;ListItem;CollectionPage;LocalBusiness,ProfessionalService;WebSite;Service",CollectionPage/Blog,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | WebSite lacks @id
/faq,5,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/maintenance,5,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/web-design-company,5,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/web-design-agency,5,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/web-designers-near-me,5,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/mobile-web-design-in-toronto,5,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/ecommerce-website-design-toronto,5,"FAQPage;Question;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,smart/non-ascii chars: – | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo,4,"BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/sitemap,4,"BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",WebPage (generic),NO,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/services/web-design-development,6,"FAQPage;Question;BreadcrumbList;ListItem;Service;LocalBusiness,ProfessionalService;WebSite",Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | '&' in text (want 'and') | priceRange present | no WebPage-type node | WebSite lacks @id
/services/graphic-design,6,"FAQPage;Question;BreadcrumbList;ListItem;Service;LocalBusiness,ProfessionalService;WebSite",Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/services/seo,6,"FAQPage;Question;BreadcrumbList;ListItem;Service;LocalBusiness,ProfessionalService;WebSite",Service,YES,smart/non-ascii chars: – | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/services/social-media-optimization,6,"FAQPage;Question;BreadcrumbList;ListItem;Service;LocalBusiness,ProfessionalService;WebSite",Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/services/website-maintenance,6,"FAQPage;Question;BreadcrumbList;ListItem;Service;LocalBusiness,ProfessionalService;WebSite",Service,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/services/ai-consultation,6,"FAQPage;Question;BreadcrumbList;ListItem;Service;LocalBusiness,ProfessionalService;WebSite",Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/services/google-ads-management,6,"BreadcrumbList;ListItem;FAQPage;Question;Service;LocalBusiness,ProfessionalService;WebSite",Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/services/wordpress-website-design,6,"BreadcrumbList;ListItem;FAQPage;Question;Service;LocalBusiness,ProfessionalService;WebSite",Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | '&' in text (want 'and') | priceRange present | no WebPage-type node | WebSite lacks @id
/services/shopify-website-design,6,"BreadcrumbList;ListItem;FAQPage;Question;Service;LocalBusiness,ProfessionalService;WebSite",Service,YES,smart/non-ascii chars: — | '&' in text (want 'and') | priceRange present | no WebPage-type node | WebSite lacks @id
/services/wix-website-design,6,"BreadcrumbList;ListItem;FAQPage;Question;Service;LocalBusiness,ProfessionalService;WebSite",Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | '&' in text (want 'and') | priceRange present | no WebPage-type node | WebSite lacks @id
/locations/calgary,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/vancouver,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: – | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/montreal,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/edmonton,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/toronto,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: – | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/mississauga,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/ottawa,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
